City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
139,nemuro,43.3236,145.575,0.2,79,100,9.48,JP,1737842534
140,pak chong,14.708,101.4161,21.01,46,3,1.05,TH,1737842536
141,klaksvik,62.2266,-6.589,3.18,88,100,20.39,FO,1737842537
142,praia,14.9215,-23.5087,21.3,73,20,8.75,CV,1737842538
143,isafjordur,66.0755,-23.124,-1.86,94,100,0.78,IS,1737842539
144,vila velha,-20.3297,-40.2925,28.97,81,0,6.69,BR,1737842540
145,kasserine,35.1676,8.8365,11.97,47,100,3.41,TN,1737842542
146,katsuura,35.1333,140.3,4.74,72,30,7.93,JP,1737842471
147,hamilton,39.1834,-84.5333,5.77,49,88,1.34,US,1737842544
148,qui nhon,13.7667,109.2333,21.24,88,99,3.54,VN,1737842545
149,muang khong,14.1167,105.85,19.95,72,100,1.66,LA,1737842546
150,quellon,-43.1167,-73.6167,16.19,77,93,2.18,CL,1737842548
151,acarau,-2.8856,-40.12,26.1,82,100,3.97,BR,1737842549
152,badger,64.8,-147.5333,3.32,88,100,0.25,US,1737842550
153,danielskuil,-28.1887,23.5395,24.88,29,1,3.54,ZA,1737842551
154,port lincoln,-34.7333,135.8667,21.39,76,99,6.41,AU,1737842552
155,cidreira,-30.1811,-50.2056,25.2,81,10,5.23,BR,1737842554
156,luderitz,-26.6481,15.1594,20.77,78,15,7.87,NA,1737842555
157,hilo,19.7297,-155.09,23.95,93,75,2.06,US,1737842556
158,hotan,37.0997,79.9269,-4.44,42,0,1.22,CN,1737842557
159,lazaro cardenas,17.9583,-102.2,27.88,66,75,5.84,MX,1737842558
160,dongkan,33.9997,119.8308,2.58,86,100,2.7,CN,1737842560
161,freetown,8.484,-13.2299,25.25,74,56,3.93,SL,1737842561
162,minas de marcona,-15.2119,-75.1103,20.06,67,92,6.32,PE,1737842562
163,ilulissat,69.2167,-51.1,-4.99,39,75,10.29,GL,1737842563
164,chonchi,-42.6128,-73.8092,18.69,60,64,0.36,CL,1737842564
165,kangasniemi,61.9936,26.6479,2.07,92,100,6.42,FI,1737842567
166,at taj,24.2049,23.2857,14.21,36,0,4.29,LY,1737842569
167,la'ie,21.6477,-157.9253,27.25,73,52,2.68,US,1737842571
168,shache,38.4167,77.2406,-4.48,52,4,0.48,CN,1737842477
169,roanoke rapids,36.4615,-77.6542,6.97,49,0,3.6,US,1737842573
170,gazojak,41.1875,61.4036,0.65,38,100,2.83,TM,1737842574
171,bazarnyye mataki,54.8833,49.9333,-18.94,99,47,2.05,RU,1737842575
172,hegang,47.4,130.3667,-21.93,100,67,1.19,CN,1737842394
173,sao tome,0.3365,6.7273,26.86,81,95,1.62,ST,1737842578
174,malayer,34.2969,48.8235,1.19,88,93,0.64,IR,1737842579
175,floral city,28.75,-82.2968,16.9,48,0,2.88,US,1737842580
176,cadale,2.7603,46.3222,23.86,81,71,8.87,SO,1737842581
177,vilyuysk,63.7553,121.6247,-30.99,100,100,1.53,RU,1737842582
178,vinton,37.281,-79.897,7.36,30,75,4.12,US,1737842584
179,westport,41.1415,-73.3579,-1.0,48,40,5.66,US,1737842585
180,princeville,45.7668,-61.2985,-8.5,77,0,1.03,CA,1737842586
